Data e Hora,producao_total,producao_renovavel,hidrica,eolica,solar,ondas,biomassa,producao_nao_renovavel,carvao,gas_natural,termica,producao_por_bombagem,importacao,exportacao
2011-03-17,132.289774,80.129918,50.337424999999996,22.424954,0.612118,0.0,6.755422,51.254071,7.62889,39.324933,4.300248,0.905785,22.7063,0.0565
2011-03-18,140.49897,73.919879,60.408956,6.216168,0.891857,0.0,6.402898,66.579091,2.98357,59.366486,4.229035,0.0,13.3546,3.8889
2011-03-19,125.867076,67.337688,50.438585,9.463552,0.902981,0.0,6.532571,58.484964,-0.3372,56.861604,1.96056,0.044424,5.6264,2.2839
2011-03-20,96.848473,67.452763,43.880462,15.918012,0.890373,0.0,6.763915,28.795451,-0.3306,27.523939,1.602112,0.600259,21.1027,0.1813
2011-03-21,142.716917,77.370028,45.462004,24.1373,0.835097,0.0,6.935627,65.088002,8.9686,51.72651,4.392892,0.258887,4.2606,7.8356
2011-03-22,152.931094,88.260237,38.439594,41.883681,0.593528,0.0,7.343433,63.952288,4.0592,55.273105,4.619983,0.718569,2.5526,11.349
2011-03-23,137.206649,104.535272,38.30929,58.054611,0.773257,0.0,7.398113,31.984983,3.2083,24.110429,4.666254,0.686394,11.2524,3.6522
2011-03-24,118.733747,80.321778,41.851518,30.543733,0.683046,0.0,7.243481,37.795663,3.5655,29.599653,4.630509,0.616307,27.276,0.0
2011-03-25,144.085082,74.25282,47.17547,19.439622,0.573958,0.0,7.063769,69.385796,12.215,52.54834,4.622456,0.446466,0.0,0.0
2011-03-26,129.865705,89.023539,39.950899,41.760586,0.379184,0.0,6.932869,40.011619,0.9794,36.722849,2.30937,0.830548,0.0,0.0
2011-03-27,115.374635,91.551934,35.365491999999996,49.354612,0.397229,0.0,6.434601,22.091808,-0.3186,20.91545,1.494957,1.730893,1.8558,0.4595
2011-03-28,123.159848,77.199313,53.063418,16.716756,0.453092,0.0,6.966048,45.230456,4.6242,36.372942,4.233314,0.730079,23.3381,0.0296
2011-03-29,123.237803,79.816059,50.745871,21.470654,0.60844,0.0,6.991095,43.180139,4.4035,34.373526,4.403113,0.241605,24.5311,0.0025
2011-03-30,123.56741,76.951994,49.244949,19.514334,0.88374,0.0,7.308971,43.754131,4.4198,34.905869,4.428461,2.861285,27.2653,0.0422
2011-03-31,135.484268,67.637879,50.21024,9.475476,0.924202,0.0,7.02796,66.579763,4.4355,57.537415,4.606848,1.266627,12.8333,2.8805
2011-04-01,147.730596,109.860331,52.457401999999995,49.664892,0.946322,0.0,6.791714,36.947378,4.4555,28.057849,4.434029,0.922887,3.1602,9.3399
2011-04-02,113.15516,74.439696,57.083448,10.166645,0.409572,0.0,6.780031,38.282082,-0.2723,36.202619,2.351764,0.433382,12.5878,1.0871
2011-04-03,115.95514,87.813384,50.373208999999996,30.132371,0.225172,0.0,7.082632,27.169466,-0.288,25.787031,1.670435,0.97229,3.3577,3.0121
2011-04-04,134.122985,82.414318,53.872937,20.595743,0.959786,0.0,6.985852,50.364758,4.0128,42.023523,4.328434,1.34391,7.7361,3.2398
2011-04-05,125.907118,86.319878,45.842476,32.806128,0.674678,0.0,6.996597,38.4574,4.4534,29.601308,4.402692,1.12984,18.8768,0.6057
2011-04-06,142.407033,101.650892,43.242257,50.913447,0.822135,0.0,6.673053,38.949783,4.4317,30.214332,4.303751,1.806357,8.0162,5.8785
2011-04-07,123.609015,79.984142,39.132557999999996,33.558876,0.855252,0.0,6.437456,41.519743,4.4433,32.766551,4.309892,2.10513,19.5542,0.1571
2011-04-08,125.818376,85.633273,48.525389,29.560118,0.96609,0.0,6.581675,36.989817,4.1635,28.540245,4.286072,3.195286,15.5372,0.8342
2011-04-09,115.219033,79.941305,47.691113,24.924548,0.760988,0.0,6.564656,34.691339,-0.248,32.584003,2.355336,0.586389,7.602,0.573
2011-04-10,93.65208,77.128648,31.078526000000004,38.676358,0.959427,0.0,6.414338,15.322752,-0.2865,14.011232,1.59802,1.20068,25.6085,0.0
2011-04-11,119.879446,76.770394,38.206822,31.385024,1.009658,0.0,6.168889,38.866292,3.0197,31.890978,3.955614,4.24276,17.235,1.1865
2011-04-12,123.984312,77.86818,42.487413000000004,27.804563,0.977662,0.0,6.598542,43.877474,4.4446,35.329808,4.103065,2.238659,17.7746,1.6342
2011-04-13,110.057263,61.142774,46.536042,6.834468,0.966026,0.0,6.806238,48.914489,4.4395,40.598899,3.87609,0.0,29.8378,0.0
2011-04-14,104.922153,56.617157,39.663869999999996,8.95107,0.971257,0.0,7.030961,47.794736,4.3538,39.273014,4.167923,0.51026,36.3466,0.0
2011-04-15,140.768885,74.739826,46.562583000000004,19.990668,0.965753,0.0,7.220822,65.227027,15.9175,44.718037,4.591489,0.802032,0.0,0.0
2011-04-16,115.359345,71.040415,34.28692,28.689398,0.943367,0.0,7.120731,43.45579,5.8882,35.048813,2.518777,0.86314,9.4259,0.0072
2011-04-17,85.60616,59.161976,28.26851,22.786332,0.967508,0.0,7.139626,25.481602,-0.348,24.015685,1.813917,0.962582,28.8176,0.0
2011-04-18,113.176899,68.991478,35.877506999999994,25.201339,0.65228,0.0,7.260352,42.21648,-0.3073,38.2715,4.252281,1.96894,21.9625,0.1475
2011-04-19,117.558559,69.959653,40.166811,22.943864,0.317504,0.0,6.531475,46.560696,-0.2768,42.191299,4.646197,1.03821,21.1692,0.0662
2011-04-20,96.598729,52.679759,33.478117,11.837809,0.285183,0.0,7.078649,43.60626,-0.262,39.38187,4.48639,0.31271,41.1249,0.0
2011-04-21,95.26509,53.225754,24.269431,21.239848,0.527387,0.0,7.189088,40.206436,-0.2422,35.907895,4.540741,1.8329,41.7753,0.0
2011-04-22,87.709092,52.301839,36.843518,7.799324,0.35778,0.0,7.301217,34.468695,-0.2495,32.897277,1.820918,0.938558,29.806,0.0
2011-04-23,95.786371,58.508779,36.629411999999995,14.182837,0.460555,0.0,7.235974,36.816071,-0.2392,34.877444,2.177826,0.461522,19.5759,1.3572
2011-04-24,97.35302,64.64964,23.004862,33.674257,0.750801,0.0,7.219719,31.373231,-0.2272,29.996331,1.6041,1.33015,9.3248,0.1173
2011-04-25,88.446434,59.404941,24.589102,26.65025,0.863687,0.0,7.301902,27.658681,-0.2418,26.320382,1.580099,1.382812,22.2651,0.0
2011-04-26,121.670506,69.121643,32.041023,28.716199,0.995772,0.0,7.368649,50.662799,-0.271,46.656376,4.277424,1.886063,15.7848,1.9359
2011-04-27,136.327721,70.638594,37.196424,25.151832,0.758263,0.0,7.532074,62.925311,4.307,54.430345,4.187965,2.763817,9.8553,6.7456
2011-04-28,118.634903,52.024733,38.145703000000005,5.659171,0.805889,0.0,7.413971,64.574782,5.66,54.587259,4.327522,2.035388,21.2184,1.2434
2011-04-29,121.414879,49.294347,34.96571,6.910091,0.316132,0.0,7.102414,70.648793,11.1855,55.211246,4.252047,1.471739,16.6906,0.0758
2011-04-30,111.04661,46.768793,34.286788,4.937089,0.368059,0.0,7.176856,63.782327,7.9648,53.583363,2.234164,0.49549,9.4859,1.0026
2011-05-01,93.607685,50.243107,36.151806,6.676268,0.458915,0.0,6.956118,43.358318,7.2627,34.674265,1.421353,0.00626,14.3255,0.0087
2011-05-02,140.668885,58.791631,38.771909,12.507675,0.552637,0.0,6.959411,80.746013,21.2886,55.502547,3.954866,1.13124,8.5979,14.7355
2011-05-03,151.491669,67.014463,39.141029,20.19016,0.858716,0.0,6.824558,83.691301,22.8785,56.584356,4.228445,0.785905,3.2142,16.5439
2011-05-04,152.178121,59.190968,41.862088,9.191109,1.016601,0.0,7.12117,91.801852,28.1784,59.347049,4.276403,1.185301,4.158,19.5783
2011-05-05,155.307058,56.097837,43.248537999999996,4.639166,1.016798,0.0,7.193336,98.957961,33.4564,61.233517,4.268044,0.25126,0.3294,17.3943
2011-05-06,143.723669,59.732738,34.046911,17.96589,0.735012,0.0,6.984925,83.120772,20.4084,58.355426,4.356945,0.87016,4.1788,9.2098
2011-05-07,129.97923,84.039578,28.311647,47.77531,0.833265,0.0,7.119357,42.408243,4.9044,35.155009,2.348834,3.531409,4.3589,10.7294
2011-05-08,111.689293,64.028607,26.822427,28.888981,1.063583,0.0,7.253616,46.050095,3.2785,41.214005,1.557589,1.610591,7.0091,3.6758
2011-05-09,145.977935,52.658879,35.665547,8.740915,1.08103,0.0,7.171386,91.843356,28.7373,59.075963,4.030093,1.4757,2.5169,14.1896
2011-05-10,135.662607,54.972433,39.727749,6.961693,1.051301,0.0,7.231691,79.036503,16.84589,58.162919,4.027694,1.65367,7.4282,4.4274
2011-05-11,125.513265,53.769764,36.166641999999996,9.401733,0.898782,0.0,7.302607,69.840835,16.7866,48.94872,4.105515,1.902666,15.9488,0.3086
2011-05-12,118.146685,44.753033,30.381031000000004,6.249306,0.953724,0.0,7.168972,71.014098,16.4003,50.6428,3.970998,2.379555,24.3175,0.2179
2011-05-13,138.214924,57.42337,37.238578000000004,11.938678,1.01087,0.0,7.235244,80.229295,22.1653,54.350159,3.713836,0.562259,8.9405,4.1411
2011-05-14,130.950651,67.665151,40.362427000000004,19.094392,0.961687,0.0,7.246646,63.024465,9.9772,51.281651,1.765614,0.261035,3.1618,10.1371
2011-05-15,111.538859,87.806312,22.977125,56.729836,0.993341,0.0,7.10601,22.868907,-0.3719,22.125154,1.115653,0.86364,10.2205,1.0959
2011-05-16,169.228587,80.460888,36.65554,36.061546,0.868116,0.0,6.875686,84.626483,24.4642,56.299167,3.863115,4.141216,0.09,30.8442
2011-05-17,152.063952,56.965193,31.528667,17.414835,0.74087,0.0,7.280821,94.449472,31.4645,59.185934,3.799037,0.649287,0.7632,11.2658
2011-05-18,138.680375,50.584319,26.410052,16.880797,0.181212,0.0,7.112258,87.238617,28.2853,55.348272,3.605044,0.85744,8.7118,4.6742
2011-05-19,143.454209,47.605273,26.444348,13.299622,0.711593,0.0,7.14971,92.960158,33.1239,56.218516,3.617742,2.888778,6.2771,9.2458
2011-05-20,139.986816,41.176813,28.331094999999998,4.437818,1.017342,0.0,7.390558,97.178483,35.6392,57.558463,3.980821,1.63152,5.7297,7.3845
2011-05-21,141.001058,45.513876,26.56327,10.666049,0.990756,0.0,7.2938,95.243344,35.5774,57.645055,2.020889,0.243838,0.2163,20.1706
2011-05-22,99.04478,39.554112,24.149593,7.43903,0.970085,0.0,6.995405,59.355285,20.4672,37.596056,1.292029,0.135383,13.0198,1.0123
2011-05-23,140.256703,41.790474,28.331511,5.910476,0.850584,0.0,6.697904,98.110246,34.7557,59.508437,3.846108,0.355984,5.7489,8.6353
2011-05-24,140.438972,44.220116,30.046864,6.563176,1.061692,0.0,6.548384,96.130058,32.8194,59.272788,4.037871,0.088798,5.4694,2.4348
2011-05-25,156.605897,47.432517,31.41508,8.437912,0.749785,0.0,6.82974,109.14297,38.621,66.50448,4.01749,0.03041,1.9046,12.7993
2011-05-26,150.478751,39.178795,27.647965,4.066439,0.348043,0.0,7.116349,111.298991,38.8558,68.381353,4.061838,0.000965,2.277,9.9047
2011-05-27,135.932251,35.984396,23.254137,4.991066,0.808986,0.0,6.930207,99.006858,34.9175,59.984335,4.105023,0.940997,11.0714,4.183
2011-05-28,125.816089,35.456879,16.187469999999998,11.750593,0.782912,0.0,6.735904,90.14379,34.7599,53.278928,2.104962,0.21542,3.8926,4.591
2011-05-29,103.966323,37.196642,17.441126,12.12756,0.862003,0.0,6.765952,66.211402,27.9398,36.612497,1.659105,0.55828,10.7305,1.2221
2011-05-30,137.688286,43.143275,22.938482999999998,13.099076,0.587537,0.0,6.518178,93.749431,32.7828,56.588238,4.378393,0.79558,7.6998,9.9707
2011-05-31,122.453395,52.157029,20.741735,24.143029,0.751256,0.0,6.521009,68.0227,21.3489,42.18924,4.48456,2.273665,17.6521,0.2971
2011-06-01,129.103792,69.598553,14.322358999999999,47.678152,1.085346,0.0,6.512696,57.56786,21.3364,31.670997,4.560463,1.937379,12.8152,1.3871
2011-06-02,121.556881,66.480194,11.626126000000001,46.922979,1.156408,0.0,6.774681,53.08666,16.1947,32.339534,4.552425,1.990027,18.6685,0.2561
2011-06-03,124.087411,53.585919,20.925755,24.920598,0.89545,0.0,6.844116,69.903494,22.0828,43.258289,4.562405,0.597998,17.9466,1.7007
2011-06-04,99.156302,33.960369,15.462591,10.723076,0.871698,0.0,6.903004,64.654353,21.6859,40.697988,2.270464,0.54158,24.1775,0.0
2011-06-05,83.47841,30.847189,16.210066,7.152732,0.657136,0.0,6.827254,51.562851,21.3769,28.588793,1.597157,1.068371,31.0214,0.0
2011-06-06,120.376528,49.565367,22.179627,20.444651,0.560227,0.0,6.380862,69.237811,27.9378,36.986933,4.313078,1.57335,18.067,1.0936
2011-06-07,128.440153,62.846993,15.751864000000001,40.477562,0.619197,0.0,5.99837,64.346682,24.3674,35.357582,4.6217,1.246478,11.7264,2.5045
2011-06-08,120.672632,48.721784,16.381232,24.690988,1.012855,0.0,6.636709,70.13734,31.1251,34.278614,4.733626,1.813508,19.6172,0.8417
2011-06-09,113.117836,33.953407,18.789143000000003,7.413521,0.776449,0.0,6.974295,77.800179,34.811,38.465416,4.523763,1.36425,25.0268,0.054
2011-06-10,102.358043,37.227881,13.699204,15.307258,1.019532,0.0,7.201887,64.088091,27.0591,35.139692,1.889298,1.042071,18.0098,0.1819
2011-06-11,101.425979,33.140294,14.456749,10.26974,1.099543,0.0,7.314262,67.838795,28.4968,37.028731,2.313264,0.44689,15.5018,0.0083
2011-06-12,103.827858,34.89185,15.227200999999999,11.860851,1.098689,0.0,6.70511,67.627305,29.022,36.806023,1.799282,1.308703,8.9078,2.2004
2011-06-13,118.331276,47.725176,15.754185999999997,24.123339,1.118404,0.0,6.729248,67.071341,27.9863,34.772807,4.312234,3.534759,16.1288,1.5162
2011-06-14,130.473944,51.454133,23.304125,19.804456,1.052957,0.0,7.292595,78.458637,36.8599,37.016201,4.582535,0.561174,11.7067,2.3741
2011-06-15,144.05411,57.566921,21.427363,27.686544,1.113577,0.0,7.339437,85.722081,38.4631,42.610843,4.648138,0.765108,4.2712,5.5698
2011-06-16,138.758461,51.367464,20.613546000000003,23.046685,1.087485,0.0,6.619748,86.666107,37.9665,44.17526,4.524347,0.72489,6.5716,3.2277
2011-06-17,131.313726,59.843092,17.892208,33.510125,1.109794,0.0,7.330966,70.498932,34.2437,31.666797,4.588435,0.971702,13.4309,1.9714
2011-06-18,130.887688,59.20176,16.261259,34.501278,1.12512,0.0,7.314102,70.268898,32.3872,35.471395,2.410303,1.41703,1.6138,9.9211
2011-06-19,111.898132,40.061857,19.876982,11.839049,1.056459,0.0,7.289367,71.339476,33.6814,36.005382,1.652694,0.496799,5.5949,4.0354
2011-06-20,127.01497,46.759341,24.07355,14.277318,1.070595,0.0,7.337878,80.049841,30.541,45.050818,4.458024,0.205787,14.9682,1.3588
2011-06-21,129.804144,46.948347,21.586852,16.835687,1.072971,0.0,7.452836,82.417358,33.3063,43.66286,5.448198,0.438439,15.7119,0.1418
2011-06-22,129.770852,52.053926,11.867786,31.622997,1.079979,0.0,7.483164,77.266936,30.2994,42.553435,4.414101,0.44999,16.4477,0.6983
2011-06-23,128.418797,50.689477,14.124141999999999,27.903866,1.140719,0.0,7.52075,76.5423,35.0178,39.872759,1.651741,1.18702,4.7119,14.5857
2011-06-24,120.24291,43.214154,15.742519999999999,19.060997,1.071071,0.0,7.339567,75.043626,34.11,36.940558,3.993068,1.985129,9.4614,1.3699
2011-06-25,127.135293,47.780274,25.548116,15.013295,1.001584,0.0,6.217279,78.449481,36.1744,40.193562,2.08152,0.905538,3.002,4.6421
2011-06-26,114.969594,37.90297,19.963689000000002,9.826327,0.79557,0.0,7.317384,76.057954,37.0711,36.899668,2.087186,1.00867,9.148,2.5981
2011-06-27,129.114822,45.659542,23.515031999999998,14.238075,1.005294,0.0,6.901141,82.260652,35.4486,42.031267,4.780784,1.194628,19.3892,1.2569
2011-06-28,153.443867,52.200446,18.071351,26.412307,1.015453,0.0,6.701335,100.243261,40.0672,55.741481,4.434579,1.00016,4.2037,8.8501
