"room_id","survey_id","host_id","room_type","country","city","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","bathrooms","price","minstay","name","last_modified","latitude","longitude","location"
1942427,1476,10047120,"Entire home/apt",NA,"Amsterdam",NA,"Oostelijk Havengebied / Indische Buurt",26,5,3,1,NA,64,NA,"Comfortable Apt. perfect location!!","2017-07-22 17:24:58.746102",52.368457,4.934157,"0101000020E6100000615111A793BC1340BB7D5699292F4A40"
15446545,1476,7953073,"Entire home/apt",NA,"Amsterdam",NA,"Oud Noord",5,5,2,1,NA,119,NA,"Stylish Private Tiny House","2017-07-22 17:49:30.262125",52.387371,4.926821,"0101000020E6100000ECFB709010B513409C35785F95314A40"
18740863,1476,130374568,"Entire home/apt",NA,"Amsterdam",NA,"Centrum Oost",4,5,6,4,NA,450,NA,"Big apartment in de centre of Amsterdam","2017-07-23 05:53:57.755409",52.359245,4.89356,"0101000020E6100000170E84640193134032207BBDFB2D4A40"
10320950,1476,3518386,"Entire home/apt",NA,"Amsterdam",NA,"Oud Oost",4,5,6,3,NA,480,NA,"Family house near Amstel River","2017-07-23 06:00:07.025039",52.357036,4.909891,"0101000020E6100000EEB25F77BAA3134051BF0B5BB32D4A40"
5645195,1476,22237706,"Entire home/apt",NA,"Amsterdam",NA,"Noord-West / Noord-Midden",2,0,2,1,NA,102,NA,"Cozy house near the city center","2017-07-22 17:31:49.180700",52.349723,4.861111,"0101000020E610000047E7FC14C77113405AD427B9C32C4A40"
15105222,1476,95663650,"Entire home/apt",NA,"Amsterdam",NA,"Centrum Oost",1,0,4,1,NA,239,NA,"Exclusive Amsterdam","2017-07-23 03:22:33.203356",52.361493,4.893407,"0101000020E6100000E411DC48D9921340D15D1267452E4A40"
10008030,1476,36151297,"Private room",NA,"Amsterdam",NA,"De Pijp / Rivierenbuurt",17,4,4,1,NA,144,NA,"architect's home","2017-07-22 16:33:26.439986",52.352382,4.892587,"0101000020E6100000C9569753029213407BD976DA1A2D4A40"
8181826,1476,43168312,"Entire home/apt",NA,"Amsterdam",NA,"Centrum West",1,0,4,2,NA,300,NA,"Beautiful yacht in the city centre","2017-07-23 03:01:15.723915",52.38527,4.890822,"0101000020E6100000B03A72A433901340A110018750314A40"
13808602,1476,683291,"Entire home/apt",NA,"Amsterdam",NA,"Centrum West",1,0,2,1,NA,156,NA,"Spacious Apartment in the Historic Jordaan!","2017-07-22 22:22:55.042499",52.374884,4.880386,"0101000020E6100000CE6C57E88385134097E5EB32FC2F4A40"
19239837,1476,109996992,"Entire home/apt",NA,"Amsterdam",NA,"Westerpark",0,0,2,1,NA,96,NA,"Penthouse Loft in Amsterdam West","2017-07-22 17:25:10.835909",52.37396,4.87339,"0101000020E61000001F9DBAF2597E13408E01D9EBDD2F4A40"
1713474,1476,7356863,"Private room",NA,"Amsterdam",NA,"De Baarsjes / Oud West",133,4.5,2,1,NA,90,NA,"Amsterdam School Building","2017-07-22 16:15:49.306826",52.361646,4.863886,"0101000020E610000097E315889E741340575D876A4A2E4A40"
18071315,1476,13633315,"Entire home/apt",NA,"Amsterdam",NA,"Centrum West",7,5,4,1,NA,336,NA,"Cosy and very central apartment","2017-07-23 05:53:56.107374",52.376565,4.895044,"0101000020E610000092EC116A86941340BCE82B4833304A40"
19794453,1476,139793012,"Entire home/apt",NA,"Amsterdam",NA,"De Baarsjes / Oud West",1,0,3,1,NA,111,NA,"Light & Comfortable Apartment with Roof Terrace!","2017-07-22 18:00:59.894162",52.361037,4.86276,"0101000020E61000001630815B77731340AFD2DD75362E4A40"
5959225,1476,25389632,"Entire home/apt",NA,"Amsterdam",NA,"Centrum Oost",108,4.5,6,3,NA,359,NA,"Amsterdam Rembrandtplein Apartment","2017-07-23 05:54:41.210820",52.36676,4.896666,"0101000020E610000094BDA59C2F96134090BDDEFDF12E4A40"
17871189,1476,17954562,"Entire home/apt",NA,"Amsterdam",NA,"Geuzenveld / Slotermeer",3,5,2,1,NA,114,NA,"Newly renovated apartment with stunning view!","2017-07-22 18:19:47.688407",52.372704,4.830659,"0101000020E61000002383DC4598521340508BC1C3B42F4A40"
950760,1476,5157959,"Entire home/apt",NA,"Amsterdam",NA,"Noord-West / Noord-Midden",7,4.5,2,1,NA,180,NA,"Lovely apartment near Vondelpark","2017-07-22 23:34:03.020110",52.351986,4.85229,"0101000020E6100000D4D4B2B5BE6813402E5393E00D2D4A40"
8377415,1476,44150834,"Entire home/apt",NA,"Amsterdam",NA,"Westerpark",23,5,2,1,NA,299,NA,"Top location with amazing view + boat","2017-07-23 03:01:15.720962",52.385208,4.877258,"0101000020E6100000139ED0EB4F8213402B14E97E4E314A40"
12130212,1476,65095912,"Entire home/apt",NA,"Amsterdam",NA,"Centrum West",3,4.5,2,1,NA,114,NA,"","2017-07-22 17:53:01.233983",52.372783,4.882011,"0101000020E61000005AD93EE42D8713409CC0745AB72F4A40"
19264996,1476,22361648,"Entire home/apt",NA,"Amsterdam",NA,"Westerpark",1,0,4,2,NA,204,NA,"Modern apartment in perfect city centre location","2017-07-23 02:37:10.480899",52.394059,4.872442,"0101000020E610000099A0866F617D1340E4D87A8670324A40"
5921275,1476,9904657,"Entire home/apt",NA,"Amsterdam",NA,"Oostelijk Havengebied / Indische Buurt",11,5,3,1,NA,131,NA,"Spacious & light, big roof terrace!","2017-07-22 19:57:11.125059",52.36466,4.93573,"0101000020E6100000598B4F0130BE13406614CB2DAD2E4A40"
10046150,1476,51558937,"Entire home/apt",NA,"Amsterdam",NA,"Centrum West",29,4.5,2,1,NA,240,NA,"Treasure in the centre of Amsterdam","2017-07-23 03:02:27.132475",52.37562,4.882755,"0101000020E61000009D853DEDF08713409CDCEF5014304A40"
15860695,1476,714761,"Private room",NA,"Amsterdam",NA,"Noord-West / Noord-Midden",21,4.5,2,1,NA,108,NA,"Great room near Vondelpark!","2017-07-22 16:26:27.820437",52.349659,4.858201,"0101000020E6100000F793313ECC6E134044E048A0C12C4A40"
15492061,1476,51892665,"Entire home/apt",NA,"Amsterdam",NA,"De Pijp / Rivierenbuurt",22,5,4,2,NA,210,NA,"Unique houseboat experience, best river view!☆☆☆☆☆","2017-07-23 03:22:51.664768",52.342195,4.914478,"0101000020E61000005DA5BBEB6CA8134067EDB60BCD2B4A40"
16191551,1476,3935788,"Entire home/apt",NA,"Amsterdam",NA,"De Baarsjes / Oud West",3,4.5,4,4,NA,300,NA,"Spacious family house with garden","2017-07-23 03:30:22.835436",52.372042,4.862385,"0101000020E61000006C3EAE0D15731340855E7F129F2F4A40"
13040091,1476,71931870,"Entire home/apt",NA,"Amsterdam",NA,"De Pijp / Rivierenbuurt",4,5,3,2,NA,150,NA,"Bright & Charming Apt. in Amsterdam-Zuid/De Pijp","2017-07-22 22:47:06.997382",52.345852,4.894822,"0101000020E61000001AF7E6374C941340CBA0DAE0442C4A40"
18419864,1476,127647208,"Entire home/apt",NA,"Amsterdam",NA,"Centrum West",4,5,4,2,NA,390,NA,"New Modern LOFT Amsterdam Centre directly on canal","2017-07-23 05:53:46.823318",52.386743,4.884375,"0101000020E61000009A999999998913407D7A6CCB80314A40"
19012070,1476,8558897,"Entire home/apt",NA,"Amsterdam",NA,"Centrum West",0,0,4,2,NA,330,NA,"Old Town 1 - apartment on Canal Ring, City Centre","2017-07-23 05:57:06.572235",52.367595,4.885181,"0101000020E61000008D2958E36C8A134029965B5A0D2F4A40"
17917198,1476,65859990,"Entire home/apt",NA,"Amsterdam",NA,"Centrum West",6,5,3,1,NA,111,NA,"Cosy & Bright & GREAT APT in Jordaan!!!","2017-07-22 17:48:50.723122",52.37206,4.880352,"0101000020E61000006EDFA3FE7A8513402B137EA99F2F4A40"
19368007,1476,9664830,"Entire home/apt",NA,"Amsterdam",NA,"De Baarsjes / Oud West",2,0,4,2,NA,173,NA,"Family friendly apartment in heart of Amsterdam","2017-07-22 22:31:47.200359",52.368583,4.873711,"0101000020E6100000309FAC18AE7E1340486E4DBA2D2F4A40"
13679464,1476,12137184,"Entire home/apt",NA,"Amsterdam",NA,"De Pijp / Rivierenbuurt",9,5,2,1,NA,156,NA,"Tasteful apartment in best part of Amsterdam","2017-07-22 22:24:51.336897",52.354411,4.897369,"0101000020E6100000E3C62DE6E7961340DC2BF3565D2D4A40"
6892562,1476,36117293,"Entire home/apt",NA,"Amsterdam",NA,"De Baarsjes / Oud West",4,5,4,2,NA,210,NA,"Spacious, Light, Family Apartment","2017-07-23 03:43:27.252246",52.360839,4.854692,"0101000020E6100000809C3061346B1340880FECF82F2E4A40"
17279784,1476,28471440,"Entire home/apt",NA,"Amsterdam",NA,"Oud Oost",4,5,2,1,NA,116,NA,"Cozy apartment in the east side of Amsterdam!","2017-07-22 17:52:16.832555",52.36018,4.911584,"0101000020E61000003B3AAE4676A513402E56D4601A2E4A40"
15556709,1476,16946546,"Entire home/apt",NA,"Amsterdam",NA,"Oud Oost",5,5,4,2,NA,286,NA,"Great apartment with balcony nearby center city!","2017-07-23 03:47:31.287450",52.355413,4.922932,"0101000020E61000003DBA111615B1134060C9552C7E2D4A40"
5419045,1476,19112345,"Entire home/apt",NA,"Amsterdam",NA,"Westerpark",1,0,2,1,NA,107,NA,"Great & light 2bed apt at the canal","2017-07-22 17:51:16.757179",52.388605,4.887318,"0101000020E6100000C79BFC169D8C1340F20703CFBD314A40"
19305567,1476,93106742,"Private room",NA,"Amsterdam",NA,"Gaasperdam / Driemond",4,5,2,1,NA,115,NA,"Shadow of Nature","2017-07-22 16:27:36.926376",52.308417,4.974436,"0101000020E6100000232E008DD2E51340E54350357A274A40"
2056256,1476,7415931,"Entire home/apt",NA,"Amsterdam",NA,"Noord West",3,4.5,5,3,NA,263,NA,"Family house in Amsterdam Noord","2017-07-23 03:00:00.424402",52.410124,4.88926,"0101000020E61000005890662C9A8E134001A777F17E344A40"
19796076,1476,75206611,"Entire home/apt",NA,"Amsterdam",NA,"Westerpark",0,0,4,2,NA,210,NA,"Charming house with river view!","2017-07-23 02:58:26.959108",52.377748,4.872831,"0101000020E61000006ABDDF68C77D13409010E50B5A304A40"
3724060,1476,15800792,"Entire home/apt",NA,"Amsterdam",NA,"De Baarsjes / Oud West",32,5,2,1,NA,180,NA,"Cozy apartment close to the centre","2017-07-22 22:23:24.806502",52.369593,4.874884,"0101000020E6100000B62C5F97E17F13404FEACBD24E2F4A40"
9474189,1476,49103027,"Entire home/apt",NA,"Amsterdam",NA,"De Baarsjes / Oud West",0,0,5,3,NA,354,NA,"Spacious apartment near city centre","2017-07-23 05:58:20.381287",52.368992,4.863825,"0101000020E61000006ADE718A8E741340293E3E213B2F4A40"
125425,1476,623749,"Entire home/apt",NA,"Amsterdam",NA,"Oud Oost",38,5,2,1,NA,119,NA,"Bohemian apartment in nice area","2017-07-22 17:55:42.439328",52.360975,4.927611,"0101000020E6100000B1A371A8DFB5134039D6C56D342E4A40"
10033475,1476,20254424,"Entire home/apt",NA,"Amsterdam",NA,"De Baarsjes / Oud West",5,4.5,3,2,NA,90,NA,"Sunny Apartment - Great Location!","2017-07-22 17:31:59.348909",52.358338,4.852659,"0101000020E61000006D8FDE701F69134000750305DE2D4A40"
